"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-22",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-23",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-25",,,"0.09",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-26",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-27",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-28",,,"0.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-29",,,"0.16",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-06-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-02",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-05",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-07",,,"0.10",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-08",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-11",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-12",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-13",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-14",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-15",,,"0.65",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-16",,,"0.05",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-18",,,"1.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-19",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-20",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-22",,,"0.62",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-23",,,"0.30",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-24",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-25",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-26",,,"2.04",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-27",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-28",,,"0.22",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-29",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-07-31",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-01",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-02",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-04",,,"0.01",
